"data__id","data__ast","data__blk","data__dreb","data__fg3_pct","data__fg3a","data__fg3m","data__fg_pct","data__fga","data__fgm","data__ft_pct","data__fta","data__ftm","data__game__id","data__game__date","data__game__home_team_id","data__game__home_team_score","data__game__period","data__game__postseason","data__game__season","data__game__status","data__game__time","data__game__visitor_team_id","data__game__visitor_team_score","data__min","data__oreb","data__pf","data__player__id","data__player__first_name","data__player__height_feet","data__player__height_inches","data__player__last_name","data__player__position","data__player__team_id","data__player__weight_pounds","data__pts","data__reb","data__stl","data__team__id","data__team__abbreviation","data__team__city","data__team__conference","data__team__division","data__team__full_name","data__team__name","data__turnover","meta__total_pages","meta__current_page","meta__next_page","meta__per_page","meta__total_count"
"1069008","0","1","2","0.2","5","1","0.333","9","3","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","20:08","0","0","415","Iman","6","5","Shumpert","G","3","215","7","2","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","2","44390","1","2","25","1109741"
"1069009","4","0","5","0.0","2","0","0.2","5","1","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","19:22","1","1","49","Nemanja","6","10","Bjelica","F","26","234","2","6","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","0","","","","",""
"1069010","4","1","5","0.0","0","0","0.667","6","4","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","27:24","6","2","91","Willie","7","0","Cauley-Stein","C","7","240","8","11","3","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","2","","","","",""
"1069011","1","0","1","0.545","11","6","0.5","18","9","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","32:06","0","2","210","Buddy","6","4","Hield","G","26","214","24","1","2","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","0","","","","",""
"1069012","8","1","5","0.0","2","0","0.4","10","4","0.667","3","2","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","30:30","0","4","161","De'Aaron","6","3","Fox","G","26","175","10","5","1","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","4","","","","",""
"1069013","2","0","1","0.5","2","1","0.615","13","8","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","27:20","0","2","53","Bogdan","6","6","Bogdanovic","G","26","205","17","1","1","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","2","","","","",""
"1069014","2","0","1","0.333","3","1","0.4","5","2","0.0","0","0","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","16:22","0","1","157","Yogi","6","0","Ferrell","G","26","180","5","1","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","0","","","","",""
"1069015","1","0","4","0.5","2","1","0.545","11","6","0.5","4","2","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","22:55","4","2","24","Marvin","6","11","Bagley III","F","26","234","15","8","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","3","","","","",""
"1069016","2","0","3","0.25","4","1","0.4","5","2","0.5","2","1","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","24:07","0","2","235","Justin","6","8","Jackson","F","7","210","6","3","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","0","","","","",""
"1069017","4","0","4","0.0","0","0","0.0","3","0","0.25","4","1","45237","2019-01-17T00:00:00.000Z","4","114","4","False","2018","Final"," ","26","95","16:14","0","6","174","Harry","6","10","Giles III","F-C","26","240","1","4","0","26","SAC","Sacramento","West","Pacific","Sacramento Kings","Kings","4","","","","",""
